service_id,date,exception_type
124164,20211010,1
124169,20211010,1
124176,20211010,1
124181,20211010,1
124186,20211010,1
124191,20211010,1
124196,20211010,1
124201,20211010,1
124207,20211010,1
124218,20211010,1
124223,20211010,1
124234,20211010,1
124239,20211010,1
124244,20211010,1
124249,20211010,1
124254,20211010,1
124259,20211010,1
124264,20211010,1
124269,20211010,1
124274,20211010,1
124284,20211010,1
124289,20211010,1
124293,20211010,1
124298,20211010,1
124304,20211010,1
124309,20211010,1
124314,20211010,1
124318,20211010,1
124324,20211010,1
124329,20211010,1
124334,20211010,1
124339,20211010,1
124343,20211010,1
124348,20211010,1
124353,20211010,1
124358,20211010,1
124363,20211010,1
124368,20211010,1
124373,20211010,1
124378,20211010,1
124383,20211010,1
124389,20211010,1
124395,20211010,1
124400,20211010,1
124405,20211010,1
124410,20211010,1
124415,20211010,1
124420,20211010,1
124425,20211010,1
124430,20211010,1
124436,20211010,1
124441,20211010,1
124446,20211010,1
124453,20211010,1
124458,20211010,1
124463,20211010,1
124468,20211010,1
124474,20211010,1
124480,20211010,1
124486,20211010,1
124491,20211010,1
124496,20211010,1
124504,20211010,1
124510,20211010,1
124515,20211010,1
124520,20211010,1
124526,20211010,1
124531,20211010,1
124536,20211010,1
124541,20211010,1
124546,20211010,1
124554,20211010,1
124559,20211010,1
124565,20211010,1
124571,20211010,1
124576,20211010,1
124581,20211010,1
124586,20211010,1
124591,20211010,1
124596,20211010,1
124601,20211010,1
124606,20211010,1
124611,20211010,1
124616,20211010,1
124621,20211010,1
124628,20211010,1
124633,20211010,1
124638,20211010,1
124644,20211010,1
124649,20211010,1
124654,20211010,1
124659,20211010,1
124664,20211010,1
124672,20211010,1
124677,20211010,1
124685,20211010,1
124690,20211010,1
124695,20211010,1
123608,20211011,1
124040,20211011,1
124045,20211011,1
124050,20211011,1
124055,20211011,1
124058,20211011,1
124063,20211011,1
124068,20211011,1
124073,20211011,1
124078,20211011,1
124083,20211011,1
124088,20211011,1
124093,20211011,1
124098,20211011,1
124103,20211011,1
124108,20211011,1
124113,20211011,1
124118,20211011,1
124123,20211011,1
124128,20211011,1
124133,20211011,1
124138,20211011,1
124143,20211011,1
124148,20211011,1
124153,20211011,1
124158,20211011,1
124163,20211011,1
124168,20211011,1
124173,20211011,1
124174,20211011,1
124175,20211011,1
124180,20211011,1
124185,20211011,1
124190,20211011,1
124195,20211011,1
124200,20211011,1
124205,20211011,1
124206,20211011,1
124211,20211011,1
124222,20211011,1
124227,20211011,1
124228,20211011,1
124229,20211011,1
124230,20211011,1
124233,20211011,1
124238,20211011,1
124243,20211011,1
124248,20211011,1
124253,20211011,1
124258,20211011,1
124263,20211011,1
124268,20211011,1
124273,20211011,1
124278,20211011,1
124281,20211011,1
124282,20211011,1
124283,20211011,1
124288,20211011,1
124297,20211011,1
124302,20211011,1
124308,20211011,1
124313,20211011,1
124322,20211011,1
124328,20211011,1
124333,20211011,1
124338,20211011,1
124347,20211011,1
124352,20211011,1
124357,20211011,1
124362,20211011,1
124367,20211011,1
124372,20211011,1
124377,20211011,1
124382,20211011,1
124387,20211011,1
124388,20211011,1
124393,20211011,1
124394,20211011,1
124399,20211011,1
124404,20211011,1
124409,20211011,1
124414,20211011,1
124419,20211011,1
124424,20211011,1
124429,20211011,1
124434,20211011,1
124435,20211011,1
124440,20211011,1
124445,20211011,1
124450,20211011,1
124451,20211011,1
124452,20211011,1
124457,20211011,1
124462,20211011,1
124467,20211011,1
124472,20211011,1
124473,20211011,1
124478,20211011,1
124479,20211011,1
124484,20211011,1
124485,20211011,1
124490,20211011,1
124495,20211011,1
124500,20211011,1
124501,20211011,1
124502,20211011,1
124503,20211011,1
124508,20211011,1
124509,20211011,1
124514,20211011,1
124519,20211011,1
124524,20211011,1
124525,20211011,1
124530,20211011,1
124535,20211011,1
124540,20211011,1
124545,20211011,1
124550,20211011,1
124551,20211011,1
124552,20211011,1
124553,20211011,1
124558,20211011,1
124563,20211011,1
124564,20211011,1
124569,20211011,1
124570,20211011,1
124575,20211011,1
124580,20211011,1
124585,20211011,1
124590,20211011,1
124595,20211011,1
124600,20211011,1
124605,20211011,1
124610,20211011,1
124615,20211011,1
124620,20211011,1
124625,20211011,1
124626,20211011,1
124627,20211011,1
124632,20211011,1
124637,20211011,1
124642,20211011,1
124643,20211011,1
124648,20211011,1
124653,20211011,1
124658,20211011,1
124663,20211011,1
124668,20211011,1
124669,20211011,1
124670,20211011,1
124671,20211011,1
124676,20211011,1
124681,20211011,1
124684,20211011,1
124689,20211011,1
124694,20211011,1
124699,20211011,1
124038,20211012,1
124043,20211012,1
124048,20211012,1
124053,20211012,1
124061,20211012,1
124066,20211012,1
124071,20211012,1
124076,20211012,1
124081,20211012,1
124086,20211012,1
124091,20211012,1
124096,20211012,1
124101,20211012,1
124106,20211012,1
124111,20211012,1
124116,20211012,1
124121,20211012,1
124126,20211012,1
124131,20211012,1
124136,20211012,1
124141,20211012,1
124146,20211012,1
124151,20211012,1
124156,20211012,1
124161,20211012,1
124166,20211012,1
124171,20211012,1
124178,20211012,1
124183,20211012,1
124188,20211012,1
124193,20211012,1
124198,20211012,1
124203,20211012,1
124209,20211012,1
124220,20211012,1
124225,20211012,1
124236,20211012,1
124241,20211012,1
124246,20211012,1
124251,20211012,1
124256,20211012,1
124261,20211012,1
124266,20211012,1
124271,20211012,1
124276,20211012,1
124286,20211012,1
124291,20211012,1
124295,20211012,1
124300,20211012,1
124306,20211012,1
124311,20211012,1
124316,20211012,1
124320,20211012,1
124326,20211012,1
124331,20211012,1
124336,20211012,1
124341,20211012,1
124345,20211012,1
124350,20211012,1
124355,20211012,1
124360,20211012,1
124365,20211012,1
124370,20211012,1
124375,20211012,1
124380,20211012,1
124385,20211012,1
124391,20211012,1
124397,20211012,1
124402,20211012,1
124407,20211012,1
124412,20211012,1
124417,20211012,1
124422,20211012,1
124427,20211012,1
124432,20211012,1
124438,20211012,1
124443,20211012,1
124448,20211012,1
124455,20211012,1
124460,20211012,1
124465,20211012,1
124470,20211012,1
124476,20211012,1
124482,20211012,1
124488,20211012,1
124493,20211012,1
124498,20211012,1
124506,20211012,1
124512,20211012,1
124517,20211012,1
124522,20211012,1
124528,20211012,1
124533,20211012,1
124538,20211012,1
124543,20211012,1
124548,20211012,1
124556,20211012,1
124561,20211012,1
124567,20211012,1
124573,20211012,1
124578,20211012,1
124583,20211012,1
124588,20211012,1
124593,20211012,1
124598,20211012,1
124603,20211012,1
124608,20211012,1
124613,20211012,1
124618,20211012,1
124623,20211012,1
124630,20211012,1
124635,20211012,1
124640,20211012,1
124646,20211012,1
124651,20211012,1
124656,20211012,1
124661,20211012,1
124666,20211012,1
124674,20211012,1
124679,20211012,1
124687,20211012,1
124692,20211012,1
124697,20211012,1
123608,20211013,1
124040,20211013,1
124045,20211013,1
124050,20211013,1
124055,20211013,1
124058,20211013,1
124063,20211013,1
124068,20211013,1
124073,20211013,1
124078,20211013,1
124083,20211013,1
124088,20211013,1
124093,20211013,1
124098,20211013,1
124103,20211013,1
124108,20211013,1
124113,20211013,1
124118,20211013,1
124123,20211013,1
124128,20211013,1
124133,20211013,1
124138,20211013,1
124143,20211013,1
124148,20211013,1
124153,20211013,1
124158,20211013,1
124163,20211013,1
124168,20211013,1
124173,20211013,1
124174,20211013,1
124175,20211013,1
124180,20211013,1
124185,20211013,1
124190,20211013,1
124195,20211013,1
124200,20211013,1
124205,20211013,1
124206,20211013,1
124211,20211013,1
124222,20211013,1
124227,20211013,1
124228,20211013,1
124229,20211013,1
124230,20211013,1
124233,20211013,1
124238,20211013,1
124243,20211013,1
124248,20211013,1
124253,20211013,1
124258,20211013,1
124263,20211013,1
124268,20211013,1
124273,20211013,1
124278,20211013,1
124281,20211013,1
124282,20211013,1
